Priority,Key,Store,Wine_Name,Location,Price,Wine_Sort,Wine_Origin,Grape_1,Grape_2,Grape_3,Acid,Sweet,Sparkling,Food_match
44,EM0026,이마트몰,폰타나프레다 모스카토 다스티,"가양점, 강릉점, 경산점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동백점, 동해점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 상봉점, 상주점, 서산점, 서수원점, 성서점, 성수점, 수지점, 아산점, 안동점, 안성점, 양재점, 양주점, 여수점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 이천점, 자양점, 중동점, 진접점, 진주점, 창원점, 천안서북점, 청주점, 충주점, 통영점, 펜타포트점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 해운대점, 화성봉담점",19800,화이트,이탈리아,모스카토,0,0,3,5,,"D02, F02, G01, G02"
45,EM0027,이마트몰,샤토 생 미셸 컬럼비아 밸리 카베르네 소비뇽,"가양점, 강릉점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 보라점, 보령점, 봉선점, 사상점, 상봉점, 상주점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 신제주점, 아산점, 안동점, 안성점, 양재점, 양주점, 여수점, 여주점, 연수점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 제주점, 중동점, 진접점, 진주점, 창원점, 천안서북점, 청주점, 춘천점, 충주점, 통영점, 파주점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 해운대점, 화성봉담점",34800,레드,미국,블랜딩,0,0,2,1,,"A01, E02"
46,EM0028,이마트몰,로쉐 마제 까베르네소비뇽,"가든5점, 가양점, 강릉점, 검단점, 경산점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 금정점, 김천점, 대전터미널점, 동구미점, 동백점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서귀포점, 서산점, 성서점, 성수점, 수지점, 순천점, 신제주점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여수점, 여주점, 연수점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 이천점, 익산점, 자양점, 진접점, 진주점, 창원점, 천안서북점, 천안점, 청주점, 충주점, 칠성점, 파주점, 펜타포트점, 평촌점, 포천점, 포항이동점, 포항점, 하남점, 해운대점, 화성봉담점, 화정점",16400,레드,프랑스,까베르네쇼비뇽,0,0,4,1,0,"B01, E01, A01"
47,EM0029,이마트몰,세븐 폴스 카베르네 소비뇽,"가든5점, 가양점, 경산점, 고잔점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동인천점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서귀포점, 서산점, 서수원점, 성수점, 속초점, 수색점, 수지점, 순천점, 신제주점, 아산점, 안동점, 안성점, 양재점, 양주점, 여주점, 연수점, 영등포점, 영천점, 오산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 제주점, 중동점, 진접점, 진주점, 창원점, 청주점, 춘천점, 통영점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 해운대점",19800,레드,미국,까베르네쇼비뇽,0,0,1,1,,"B01, E01, A01"
48,SG0019,신세계백화점,미켈레 끼아를로 바르베라 다스띠 레 오르메,"강남점, 경기점, 센텀시티점, 대구점",29000,레드,이탈리아,바르베라,0,0,2,1,,"E04, A01"
49,SG0020,신세계백화점,"블랜디스 마데이라, 5년 레제르바",본점,48000,레드,포르투갈,주정강화,,,,,,"A01, C01, E03"
50,SG0021,신세계백화점,투핸즈 섹시 비스트,"강남점, 본점, 경기점, 의정부점, 광주점, 센텀시티점, 마산점, 타임스퀘어점, 대구점",43000,레드,호주,까베르네쇼비뇽,0,0,3,1,,"B01, E01, A01"
51,SG0022,신세계백화점,토마시 아마로네 델라 발폴리첼라 클라시코,본점,90000,레드,이탈리아,코르비나,론디넬라,코르비노네,2,1,0,"E04, F01, A01, F02"
52,SG0023,신세계백화점,쏜 클락 샷파이어 쉬라즈,본점,43000,레드,호주,쉬라즈,,,2,1,0,"B02, A01, E03, F02"
53,SG0024,신세계백화점,마르께스 데 리스칼 레세르바,본점,45000,레드,스페인,템프라니요,그라시아노,마주엘로,3,1,0,"C02, E02, F01"
54,EM0030,이마트몰,풀뽀로꼬 상그리아,"가든5점, 가양점, 검단점, 경산점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 대전터미널점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 문현점, 반야월점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서산점, 서수원점, 성서점, 수색점, 순천점, 신제주점, 안성점, 양산점, 양재점, 양주점, 여수점, 여주점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 이천점, 자양점, 중동점, 진접점, 진주점, 창원점, 청주점, 충주점, 칠성점, 통영점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 해운대점",9900,레드,스페인,템프라니요,0,0,4,5,,"C02, E02, F02, A01"
55,SG0025,신세계백화점,앙드레 끌루에 상파뉴 실버 브뤼,"경기점, 의정부점, 대구점, 본점, 광주점, 센텀시티점, 마산점, 타임스퀘어점",49000,레드,프랑스,피노누아,0,0,3,1,,"C02, D01, G01"
56,SG0026,신세계백화점,코노수르 싱글빈야드 까베르네쇼비뇽,"강남점, 본점, 센텀시티점, 마산점, 타임스퀘어점",28000,레드,칠레,까베르네쇼비뇽,0,0,3,1,,"B01, E01, A01"
57,EM0031,이마트몰,로쉐 마제 멜롯,"가양점, 검단점, 경산점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 대전터미널점, 동구미점, 동백점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 수색점, 수지점, 순천점, 신제주점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여수점, 여주점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 자양점, 진접점, 진주점, 창원점, 천안서북점, 천안점, 청주점, 충주점, 칠성점, 통영점, 파주점, 펜타포트점, 평촌점, 평택점, 포항이동점, 포항점, 하남점, 해운대점, 화성봉담점, 화정점",16400,레드,프랑스,메를로,0,0,2,1,,"C01, A01"
58,SG0027,신세계백화점,두게싸 리아 모스카토 다스티,본점,15000,화이트,이탈리아,모스카토,0,0,2,4,0,"G01, G02, C01"
59,EM0032,이마트몰,AB 부르고뉴 피노누아 비에유 비뉴,"강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 금정점, 김천점, 김해점, 동구미점, 동백점, 동해점, 마포점, 목동점, 반야월점, 별내점, 보라점, 보령점, 사상점, 산본점, 상봉점, 상주점, 서산점, 성서점, 속초점, 수색점, 수지점, 순천점, 아산점, 안성점, 여수점, 여주점, 연제점, 영등포점, 영천점, 울산점, 월계점, 월배점, 의왕점, 이천점, 익산점, 자양점, 진접점, 진주점, 창원점, 천안서북점, 청주점, 춘천점, 충주점, 통영점, 파주점, 펜타포트점, 평촌점, 평택점, 포천점, 하남점, 하월곡점, 해운대점, 화성봉담점, 화정점",34800,레드,프랑스,피노누아,0,0,2,1,,"C02, D01, G01"
60,SG0028,신세계백화점,"샴페인 드라피에, 까르뜨 도르 브륏 NV","본점, 강남점, 센텀시티점",79000,화이트,프랑스,피노누아,샤도네이,피노뮈니에,4,1,1,"B02, C01, F01, D01"
61,EM0033,이마트몰,코노수르 싱글빈야드 쉬라 리미티드 에디션,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 구미점, 군산점, 금정점, 김천점, 김해점, 동구미점, 동인천점, 동해점, 마포점, 만촌점, 문현점, 반야월점, 별내점, 보령점, 봉선점, 산본점, 상봉점, 상주점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 속초점, 수색점, 순천점, 신제주점, 아산점, 안동점, 양재점, 양주점, 여주점, 연제점, 영등포점, 영천점, 울산점, 월계점, 월배점, 의왕점, 이천점, 익산점, 자양점, 제주점, 중동점, 진접점, 창원점, 천안서북점, 청주점, 춘천점, 통영점, 파주점, 펜타포트점, 평택점, 포항이동점, 포항점, 하남점, 하월곡점, 해운대점, 화성봉담점, 화정점",24800,레드,칠레,쉬라즈,0,0,2,1,,"B02, A01, E02"
62,EM0034,이마트몰,패트리셔스 토카이 레이트 하베스트,"가양점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서산점, 서수원점, 성서점, 세종점, 속초점, 수색점, 수지점, 순천점, 신도림점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 원주점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 중동점, 진접점, 창원점, 천안서북점, 청주점, 춘천점, 충주점, 칠성점, 통영점, 파주점, 펜타포트점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 하월곡점, 해운대점, 화성봉담점, 화정점",39800,화이트,헝가리,푸르민트,무스캇,코베르스졸로,3,5,,"F02, G01, G02, A01, B02, F03"
63,SG0029,신세계백화점,제라르 베르트랑 그랑 떼루아르 또따벨,본점,33000,레드,프랑스,그르나슈,쉬라즈,까리냥,3,1,,"B02, E03, F01, E02"
64,SG0030,신세계백화점,콜럼비아 크레스트 H3 레 슈보 레드,"강남점, 본점, 경기점, 의정부점, 광주점, 센텀시티점, 마산점",30000,레드,미국,쉬라즈,메를로,비오니에,2,1,,"B02, C01, F01, E02"
65,EM0035,이마트몰,트라피체 말벡,"가양점, 강릉점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마포점, 만촌점, 명일점, 목동점, 문현점, 반야월점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상주점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 신제주점, 아산점, 안동점, 양재점, 양주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 익산점, 자양점, 제주점, 중동점, 진접점, 창원점, 청주점, 춘천점, 통영점, 펜타포트점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 해운대점, 화정점",9800,레드,아르헨티나,말벡,0,0,2,1,,"B01, A01"
66,SG0031,신세계백화점,루이자도 부르고뉴 샤도네이 375ml,"경기점, 마산점, 대구점",16000,화이트,프랑스,샤도네이,0,0,3,1,,"B01, F04, A01, D02"
67,EM0036,이마트몰,카르멘 소비뇽블랑,"가양점, 금정점, 동백점, 만촌점, 상봉점, 서수원점, 수지점, 양재점, 영등포점, 자양점, 창원점, 청주점",9980,화이트,칠레,소비뇽블랑,,,3,1,0,"B02, B03, F02, G01, D01, F03"
68,SG0032,신세계백화점,펜폴즈 빈 28 칼림나 쉬라즈,"강남점, 경기점, 센텀시티점, 대구점",80000,레드,호주,쉬라즈,0,0,3,1,,"B02, A01, E03"
69,SG0033,신세계백화점,까스텔포르테 발폴리첼라 리빠소,"강남점, 경기점, 센텀시티점, 대구점",25000,레드,이탈리아,코르비나,코르비노네,론디넬라,2,2,0,"E04, F01, A01"
70,SG0034,신세계백화점,피치니 메모로 화이트,"강남점, 경기점, 의정부점, 광주점, 센텀시티점, 마산점, 타임스퀘어점",13000,화이트,이탈리아,비오니에,샤도네이,베르멘티노,3,1,0,"B02, F04, A01, D02"
71,EM0037,이마트몰,울프 블라스 레드라벨 까베르네,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 금정점, 김해점, 동백점, 동인천점, 동해점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 봉선점, 사상점, 산본점, 상봉점, 서수원점, 성서점, 성수점, 세종점, 순천점, 신도림점, 아산점, 안성점, 양산점, 양재점, 여수점, 연수점, 연제점, 영등포점, 울산점, 월계점, 월배점, 의왕점, 자양점, 중동점, 진주점, 천안서북점, 천안점, 청주점, 춘천점, 칠성점, 통영점, 파주점, 평촌점, 평택점, 포항점, 하월곡점, 해운대점, 화성봉담점, 화정점",15800,레드,호주,까베르네쇼비뇽,,,3,1,0,"B01, E01, F01"
72,EM0038,이마트몰,펜폴즈 로손 리트리트 까버네쇼비뇽,"가양점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 대전터미널점, 동구미점, 동인천점, 동해점, 마산점, 마포점, 만촌점, 명일점, 문현점, 반야월점, 보령점, 봉선점, 상봉점, 상주점, 서산점, 서수원점, 성수점, 세종점, 속초점, 수색점, 아산점, 안동점, 안성점, 양산점, 양주점, 여수점, 여주점, 연제점, 영등포점, 영천점, 오산점, 월배점, 의왕점, 이천점, 익산점, 자양점, 제주점, 진접점, 진주점, 창원점, 천안서북점, 청주점, 충주점, 통영점, 파주점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 해운대점, 화정점",25000,레드,호주,까베르네쇼비뇽,0,0,2,1,,"B01, E01, A01"
73,EM0039,이마트몰,뿌삐유,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 마산점, 마포점, 만촌점, 명일점, 목동점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 산본점, 상주점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 신제주점, 아산점, 안동점, 안성점, 양재점, 양주점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 제주점, 중동점, 진접점, 진주점, 창원점, 천안서북점, 청주점, 춘천점, 충주점, 통영점, 펜타포트점, 평촌점, 평택점, 포천점, 하남점, 해운대점, 화성봉담점, 화정점",49800,레드,프랑스,메를로,0,0,3,1,,"C01, E02, A01"
74,EM0040,이마트몰,간치아 아스띠 스푸만떼 DOCG,"가양점, 검단점, 경산점, 계양점, 과천점, 광명소하점, 광산점, 군산점, 김천점, 김해점, 동백점, 동인천점, 동해점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 보라점, 보령점, 사상점, 상봉점, 상주점, 서귀포점, 서산점, 서수원점, 세종점, 수색점, 순천점, 아산점, 안동점, 안성점, 양재점, 여수점, 연제점, 영천점, 오산점, 울산점, 원주점, 월배점, 의왕점, 익산점, 자양점, 제주점, 중동점, 진접점, 진주점, 창원점, 청주점, 충주점, 통영점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 화정점",18800,화이트,이탈리아,모스카토,,,3,3,1,"D02, E01, F02, G01, G02"
